Ward name,New code,Population density (persons per sq km) - 2013,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (£) - 2014,Average GCSE capped point scores - 2014,A-Level Average Point Score Per Student - 2013/14,"Deliberate Fires per 1,000 population - 2014"
Havering - Squirrel's Heath,E05000322,"5,096",6722,77.3,"£280,250",335,658.2,0.1
Havering - Upminster,E05000323,571,5951,76.4,"£420,000",352,765.2,0.8
Hillingdon - Barnhill,E05000324,"6,595",5775,65,"£250,000",317,645.2,0.5
Hillingdon - Botwell,E05000325,"3,546",6346,64,"£250,000",312,678.1,1.2
Hillingdon - Brunel,E05000326,"4,424",5848,57.5,"£273,750",294,675.2,0.5
Hillingdon - Cavendish,E05000327,"6,000",5755,77.6,"£400,000",347,734.9,0.3
Hillingdon - Charville,E05000328,"4,350",5794,71,"£275,000",334,688.4,0.2
Hillingdon - Eastcote and East Ruislip,E05000329,"3,049",5804,76.8,"£500,000",351,764.3,0
Hillingdon - Harefield,E05000330,500,3571,75.7,"£310,000",307,701.7,2.4
Hillingdon - Heathrow Villages,E05000331,547,6107,71.7,"£209,000",320,681.5,1.3
Hillingdon - Hillingdon East,E05000332,"3,722",6074,72.4,"£311,000",327,717.7,0.5
Hillingdon - Ickenham,E05000333,"1,726",4884,76.6,"£521,000",367,713.7,0.2
Hillingdon - Manor,E05000334,"5,875",5903,80.5,"£372,500",351,710.8,0
Hillingdon - Northwood,E05000335,"1,453",4860,73.3,"£470,000",339,796.7,0.3
Hillingdon - Northwood Hills,E05000336,"3,606",5475,74.3,"£413,500",332,724.6,0.5
Hillingdon - Pinkwell,E05000337,"5,704",6417,66.8,"£280,000",326,666.9,0.9
Hillingdon - South Ruislip,E05000338,"1,723",6448,77.5,"£305,000",327,678.3,0.3
Hillingdon - Townfield,E05000339,"4,171",5977,63.2,"£280,000",309,696.8,1
Hillingdon - Uxbridge North,E05000340,"2,772",5903,74,"£349,950",345,688.9,0.6
Hillingdon - Uxbridge South,E05000341,"4,758",6133,56.8,"£259,000",309,679.3,0.7
Hillingdon - West Drayton,E05000342,"4,257",6519,69,"£249,997",293,696.8,1.4
Hillingdon - West Ruislip,E05000343,"2,546",5421,78.2,"£335,000",340,732.1,0.4
Hillingdon - Yeading,E05000344,"6,087",5981,66.1,"£250,000",314,716.8,0.4
Hillingdon - Yiewsley,E05000345,"3,363",6051,68.2,"£225,000",290,675.4,1.6
Hounslow - Bedfont,E05000346,"2,966",6105,72.2,"£229,000",314,673.2,1.1
Hounslow - Brentford,E05000347,"4,828",7043,68,"£370,000",331,710.2,0.1
Hounslow - Chiswick Homefields,E05000348,"5,087",6077,76.1,"£772,500",345,729.5,0.4
Hounslow - Chiswick Riverside,E05000349,"5,643",6201,77.4,"£650,000",356,743.6,0.2
Hounslow - Cranford,E05000350,"4,722",5548,65.6,"£226,500",315,645.4,0.2
Hounslow - Feltham North,E05000351,"3,515",5500,71.6,"£270,000",319,651.8,0.6
Hounslow - Feltham West,E05000352,"4,969",7666,71.8,"£225,000",309,620.1,1.1
Hounslow - Hanworth,E05000353,"3,788",5265,66.9,"£250,000",293,579.2,0.5
Hounslow - Hanworth Park,E05000354,"3,347",5614,72.9,"£250,000",317,643.3,0.5
Hounslow - Heston Central,E05000355,"7,500",5584,66.6,"£348,000",334,701,0.6
Hounslow - Heston East,E05000356,"6,400",5745,67.5,"£248,000",337,702.7,0.4
Hounslow - Heston West,E05000357,"3,382",5161,62.2,"£280,000",323,665.7,1.5
Hounslow - Hounslow Central,E05000358,"9,441",7795,71.4,"£249,950",345,707.5,0.5
Hounslow - Hounslow Heath,E05000359,"5,446",6878,67.6,"£249,950",340,709.8,0.7
Hounslow - Hounslow South,E05000360,"6,556",5767,74.1,"£375,000",343,700.8,0.2
Hounslow - Hounslow West,E05000361,"8,438",6288,69.6,"£270,000",331,707.7,0.5
Hounslow - Isleworth,E05000362,"6,125",5827,70.6,"£301,000",316,679.5,0.7
Hounslow - Osterley and Spring Grove,E05000363,"2,135",6844,75.3,"£345,500",367,757.7,0.4
Hounslow - Syon,E05000364,"4,862",7063,73,"£365,000",318,672.2,0.5
Hounslow - Turnham Green,E05000365,"6,583",6354,77,"£634,000",344,714.9,0.2
Islington - Barnsbury,E05000366,"15,938",6292,68.1,"£715,000",320,621.1,0.1
Islington - Bunhill,E05000367,"14,455",6889,59.8,"£640,000",324,590.6,0.3
Islington - Caledonian,E05000368,"13,227",6494,61.7,"£447,500",312,682.3,1.9
Islington - Canonbury,E05000369,"15,438",6103,69.2,"£550,000",310,644,0.2
Islington - Clerkenwell,E05000370,"13,444",5721,62.6,"£732,500",301,606.1,0.2
Islington - Finsbury Park,E05000371,"16,556",6862,65.4,"£410,000",310,622.7,0.1
Islington - Highbury East,E05000372,"11,950",6350,74.5,"£667,500",343,741.9,1.4
Islington - Highbury West,E05000373,"14,364",8745,74.5,"£500,000",323,739.7,0.1
Islington - Hillrise,E05000374,"15,125",5560,65.7,"£447,500",316,693.6,1.2
Islington - Holloway,E05000375,"15,750",7305,63.9,"£405,000",312,624.4,0.2
Islington - Junction,E05000376,"12,600",6085,68.4,"£452,000",335,715.7,0.5
Islington - Mildmay,E05000377,"16,625",6556,68.6,"£525,000",330,635.4,0.5
Islington - St. George's,E05000378,"16,063",6282,67.8,"£495,645",329,686.2,0.5
Islington - St. Mary's,E05000379,"13,500",6476,73,"£650,000",331,692.9,0.2
Islington - St. Peter's,E05000380,"15,688",6277,70.4,"£667,500",302,607.1,0.5
Islington - Tollington,E05000381,"17,063",6770,68.5,"£465,000",326,629.4,0.5
Kensington and Chelsea - Abingdon,E05000382,"16,917",4823,66.2,"£1,295,000",357,649.7,0
Kensington and Chelsea - Brompton,E05000383,"8,700",4465,69.2,"£1,950,000",356,693.3,0.2
Kensington and Chelsea - Campden,E05000384,"8,944",4206,71.6,"£1,400,000",291,712.5,n/a
Kensington and Chelsea - Colville,E05000385,"20,625",4457,69.9,"£935,000",311,672.2,0.2
Kensington and Chelsea - Courtfield,E05000386,"17,700",4535,64.8,"£1,325,000",344,688.1,0.1
Kensington and Chelsea - Cremorne,E05000387,"13,250",3470,63,"£1,050,000",312,656.9,n/a
Kensington and Chelsea - Earl's Court,E05000388,"18,100",4973,68.5,"£783,250",359,713.3,0.2
Kensington and Chelsea - Golborne,E05000389,"10,111",3768,59.3,"£533,800",314,738.1,0.5
Kensington and Chelsea - Hans Town,E05000390,"14,417",4424,69.1,"£1,587,500",338,639.7,n/a
Kensington and Chelsea - Holland,E05000391,"9,600",4586,66.4,"£1,375,000",365,650.5,n/a
Kensington and Chelsea - Norland,E05000392,"12,214",3961,67.4,"£1,343,000",323,663.6,0.1
Kensington and Chelsea - Notting Barns,E05000393,"15,750",4036,61.8,"£776,000",330,667.6,0.3
Kensington and Chelsea - Pembridge,E05000394,"15,100",4288,74.8,"£1,127,500",386,787.5,0
Kensington and Chelsea - Queen's Gate,E05000395,"16,167",4971,66.3,"£1,745,000",377,626.6,0
Kensington and Chelsea - Redcliffe,E05000396,"13,000",5131,74.3,"£995,000",342,633.9,n/a
Kensington and Chelsea - Royal Hospital,E05000397,"7,944",3539,72.8,"£1,995,000",366,770.6,n/a
Kensington and Chelsea - St. Charles,E05000398,"13,286",4126,63.4,"£642,500",330,672,0.3
Kensington and Chelsea - Stanley,E05000399,"11,571",4239,73,"£1,100,000",345,599.3,n/a
Kingston upon Thames - Alexandra,E05000400,"3,537",4464,75.1,"£404,975",353,762.2,0.3
Kingston upon Thames - Berrylands,E05000401,"6,467",4813,74.8,"£361,125",343,733.7,0.3
Kingston upon Thames - Beverley,E05000402,"5,447",4807,71.6,"£435,000",372,761.5,0.7
Kingston upon Thames - Canbury,E05000403,"10,792",6529,74.9,"£449,500",368,801.5,0.2
Kingston upon Thames - Chessington North and Hook,E05000404,"4,711",4334,76.4,"£310,000",307,647,1.2
Kingston upon Thames - Chessington South,E05000405,"1,375",5291,78.5,"£315,000",321,643.4,0.6
Kingston upon Thames - Coombe Hill,E05000406,"2,421",4458,64.5,"£480,000",340,667.1,0.3
Kingston upon Thames - Coombe Vale,E05000407,"6,250",4619,72.4,"£480,000",367,810.4,0.1
Kingston upon Thames - Grove,E05000408,"6,105",5683,66.8,"£400,000",325,667.6,0.2
Kingston upon Thames - Norbiton,E05000409,"8,077",4973,68.2,"£341,750",308,677.3,0.2
Kingston upon Thames - Old Malden,E05000410,"5,361",4501,74,"£395,725",347,765.5,0.1
Kingston upon Thames - St. James,E05000411,"4,182",4061,71.9,"£443,568",355,729.9,0.7
Kingston upon Thames - St. Mark's,E05000412,"7,786",5872,69.4,"£395,350",336,725.5,0.4
Kingston upon Thames - Surbiton Hill,E05000413,"6,353",5705,78.2,"£396,770",362,682.4,0.3
Kingston upon Thames - Tolworth and Hook Rise,E05000414,"3,962",4993,76.2,"£337,195",338,714.3,0.7
Kingston upon Thames - Tudor,E05000415,"6,125",4674,76.9,"£550,000",379,810.1,0.1
Lambeth - Bishop's,E05000416,"7,067",5119,66.2,"£590,000",325,615.6,0.7
Lambeth - Brixton Hill,E05000417,"14,864",9214,75.3,"£420,000",312,642.6,0.2
Lambeth - Clapham Common,E05000418,"10,192",8007,80.3,"£620,000",296,674.1,0.5
Lambeth - Clapham Town,E05000419,"13,046",8628,80,"£610,000",311,684.8,0.4
Lambeth - Coldharbour,E05000420,"14,333",7874,64.9,"£435,000",306,617.7,0.4
Lambeth - Ferndale,E05000421,"17,556",9406,77,"£497,475",313,659.5,0.5
Lambeth - Gipsy Hill,E05000422,"8,625",6633,69.7,"£350,000",314,674.9,1.1
Lambeth - Herne Hill,E05000423,"7,700",8459,75.3,"£432,500",324,704.1,0.1
Lambeth - Knight's Hill,E05000424,"9,967",6876,68.8,"£355,000",322,661,0.3
Lambeth - Larkhall,E05000425,"16,182",9777,73.5,"£430,000",309,633.3,1.1
Lambeth - Oval,E05000426,"12,269",8847,74.3,"£699,995",322,662.2,0.4
Lambeth - Prince's,E05000427,"12,458",7480,71.1,"£495,000",334,663.6,0.1
Lambeth - St. Leonard's,E05000428,"10,643",8292,75.6,"£340,000",341,728.5,0.3
Lambeth - Stockwell,E05000429,"16,778",7863,71.2,"£391,375",314,634.4,0.3
Lambeth - Streatham Hill,E05000430,"11,308",7798,74.6,"£359,000",316,710.5,0.2
Lambeth - Streatham South,E05000431,"8,559",6900,70.4,"£375,000",328,663.1,0.3
Lambeth - Streatham Wells,E05000432,"10,067",8008,74.2,"£345,875",311,652.4,0.2
Lambeth - Thornton,E05000433,"12,046",6647,74.3,"£511,250",319,671.8,0.4
Lambeth - Thurlow Park,E05000434,"9,133",7074,74,"£412,748",305,674.1,0.5
Lambeth - Tulse Hill,E05000435,"16,000",8054,70.5,"£417,000",292,633.8,0.6
Lambeth - Vassall,E05000436,"13,591",7157,67.6,"£395,000",317,653.5,1.9
Lewisham - Bellingham,E05000437,"4,855",6198,64.9,"£265,000",295,659.4,0.7
Lewisham - Blackheath,E05000438,"6,304",7360,74.1,"£385,000",296,717.5,0.4
Lewisham - Brockley,E05000439,"10,559",9571,71.3,"£330,000",312,624.5,0.5
Lewisham - Catford South,E05000440,"8,158",7172,70.2,"£332,500",311,682.3,0.1
Lewisham - Crofton Park,E05000441,"8,882",7876,73.9,"£455,000",314,684.5,0.3
Lewisham - Downham,E05000442,"6,146",5793,63.6,"£242,500",290,689.4,0.8
Lewisham - Evelyn,E05000443,"9,778",7482,63.7,"£315,000",305,613.7,0.4
Lewisham - Forest Hill,E05000444,"8,389",7528,73.6,"£340,000",333,650.5,0.8
Lewisham - Grove Park,E05000445,"6,208",6764,69.3,"£250,000",308,670.7,0.6
Lewisham - Ladywell,E05000446,"9,281",7447,70.5,"£370,000",319,706.2,0.4
Lewisham - Lee Green,E05000447,"8,222",7639,75.1,"£402,500",334,743.1,0.1
Lewisham - Lewisham Central,E05000448,"8,976",8895,69.6,"£290,000",303,643.6,0.5
Lewisham - New Cross,E05000449,"9,306",7520,64.6,"£242,000",299,583.1,0.6
Lewisham - Perry Vale,E05000450,"9,324",7946,72.9,"£355,000",314,682.2,0.3
Lewisham - Rushey Green,E05000451,"8,778",6818,66.2,"£270,000",301,659.5,1.3
Lewisham - Sydenham,E05000452,"9,353",7327,69.1,"£350,000",308,632.2,0.1
Lewisham - Telegraph Hill,E05000453,"11,233",8512,70.6,"£360,000",313,650.3,0.2
Lewisham - Whitefoot,E05000454,"6,659",5802,64.8,"£248,000",302,669,0.6
Merton - Abbey,E05000455,"7,607",6284,80.3,"£482,500",332,726,0.3
Merton - Cannon Hill,E05000456,"4,341",4665,75.9,"£455,000",364,744.3,0.4
Merton - Colliers Wood,E05000457,"10,182",6385,76.7,"£350,000",335,639.5,0.3
Merton - Cricket Green,E05000458,"3,933",4967,65.7,"£245,000",296,657.7,1.2
Merton - Dundonald,E05000459,"8,000",5683,83.2,"£565,000",392,813.5,0.1
Merton - Figge's Marsh,E05000460,"10,546",5036,66.3,"£250,000",316,603.4,0.2
Merton - Graveney,E05000461,"11,222",4981,71.6,"£388,000",333,652.5,0
Merton - Hillside,E05000462,"7,708",5194,79.8,"£563,750",372,730.6,0
Merton - Lavender Fields,E05000463,"8,875",5393,72.6,"£280,000",301,671.7,0.4
Merton - Longthornton,E05000464,"6,967",4737,69.9,"£295,000",319,668.1,0.3
Merton - Lower Morden,E05000465,"5,194",4660,78.1,"£320,000",335,700.3,0.3
Merton - Merton Park,E05000466,"5,444",4702,75.2,"£522,500",381,778.5,0.4
Merton - Pollards Hill,E05000467,"4,864",4560,67.8,"£288,000",313,645.9,0.7
Merton - Ravensbury,E05000468,"5,694",4489,69,"£285,000",313,650.9,0.4
Merton - Raynes Park,E05000469,"5,263",5072,77.6,"£499,500",341,790.3,0.3
Merton - St. Helier,E05000470,"5,944",4703,69.4,"£280,000",330,681.6,0.2
Merton - Trinity,E05000471,"9,136",5925,80.7,"£497,000",343,686,0
Merton - Village,E05000472,"1,411",3730,71.3,"£1,530,000",389,831.1,n/a
Merton - West Barnes,E05000473,"5,075",4990,76.5,"£475,000",363,731.1,0.2
Merton - Wimbledon Park,E05000474,"5,022",6198,78.4,"£732,500",340,730.8,0.1
Newham - Beckton,E05000475,"2,540",6682,60.3,"£233,500",306,700.6,1.1
Newham - Boleyn,E05000476,"18,056",6291,58.2,"£250,000",325,663.7,0.4
Newham - Canning Town North,E05000477,"6,300",6103,59.5,"£249,000",306,624.8,4.3
Newham - Canning Town South,E05000478,"10,167",7403,64.4,"£280,000",299,631.6,1
Newham - Custom House,E05000479,"6,738",5839,62.8,"£250,000",299,628,1.2
Newham - East Ham Central,E05000480,"16,200",6503,58,"£250,000",311,660.6,0.7
Newham - East Ham North,E05000481,"15,722",5482,56.3,"£249,995",323,658.9,0.3
Newham - East Ham South,E05000482,"8,861",5952,59,"£240,000",312,658.8,0.6
Newham - Forest Gate North,E05000483,"13,750",7545,64.7,"£313,000",331,633,0.8
Newham - Forest Gate South,E05000484,"14,875",7985,62.1,"£263,900",316,648.1,0.7
Newham - Green Street East,E05000485,"23,071",6341,55.4,"£260,000",316,685.8,0.3
Newham - Green Street West,E05000486,"19,188",5873,54.3,"£250,000",321,651.6,0.6
Newham - Little Ilford,E05000487,"8,921",5774,53,"£230,000",315,630,0.7
Newham - Manor Park,E05000488,"11,923",5936,55.8,"£249,975",329,654.9,0.5
Newham - Plaistow North,E05000489,"15,700",6260,58.4,"£250,000",319,662.6,0.4
Newham - Plaistow South,E05000490,"11,893",6921,61.8,"£250,000",314,640.8,0.8
Newham - Royal Docks,E05000491,"2,844",5750,71.9,"£303,500",306,603.4,0.5
Newham - Stratford and New Town,E05000492,"5,333",9665,68.9,"£280,000",309,604.2,0.8
Newham - Wall End,E05000493,"10,750",5786,57.1,"£250,000",303,636.6,0.3
Newham - West Ham,E05000494,"12,269",7002,63.1,"£273,500",308,649.7,0.5
Redbridge - Aldborough,E05000495,"1,797",6327,67.4,"£315,000",340,694.7,0.2
Redbridge - Barkingside,E05000496,"8,767",5513,67.3,"£368,750",357,762,0.2
Redbridge - Bridge,E05000497,"4,596",5683,73.2,"£340,000",323,625.4,0.2
Redbridge - Chadwell,E05000498,"9,900",6343,68.4,"£250,000",329,657.9,0.2
Redbridge - Church End,E05000499,"7,967",6381,79.3,"£340,000",344,768.1,0
Redbridge - Clayhall,E05000500,"5,480",5723,67.8,"£390,000",372,778.5,0.2
Redbridge - Clementswood,E05000501,"12,423",5459,56.5,"£235,000",330,617.5,0.4
Redbridge - Cranbrook,E05000502,"5,563",5349,62.8,"£367,500",355,659.1,0.5
Redbridge - Fairlop,E05000503,"3,611",5906,70.8,"£310,000",324,647.3,0
Redbridge - Fullwell,E05000504,"6,046",5407,66.7,"£339,498",333,731.8,0.1
Redbridge - Goodmayes,E05000505,"8,438",5407,61,"£307,000",319,661.2,0.7
Redbridge - Hainault,E05000506,"2,411",5304,65.1,"£249,999",305,616.3,0.5
Redbridge - Loxford,E05000507,"13,423",5618,53.5,"£193,000",340,642.4,0.5
Redbridge - Mayfield,E05000508,"7,395",5561,63.5,"£305,000",339,687.9,0.1
Redbridge - Monkhams,E05000509,"3,452",4950,76.2,"£499,748",370,669.5,0.2
Redbridge - Newbury,E05000510,"8,310",6931,63.2,"£315,000",348,725.2,0.4
Redbridge - Roding,E05000511,"5,435",5951,73.8,"£302,500",330,657.1,0.4
Redbridge - Seven Kings,E05000512,"7,810",6066,60.1,"£294,000",332,649.3,0.3
Redbridge - Snaresbrook,E05000513,"6,100",6214,78.1,"£361,393",371,696.4,0.2
Redbridge - Valentines,E05000514,"9,900",5758,60.6,"£225,000",341,721.5,0.3
Redbridge - Wanstead,E05000515,"2,279",5688,74.5,"£460,000",344,746.1,0.8
Richmond upon Thames - Barnes,E05000516,"3,500",4839,72.3,"£1,362,500",328,751.5,0
Richmond upon Thames - East Sheen,E05000517,"1,810",5108,78.2,"£985,000",396,796.2,0.2
Richmond upon Thames - Fulwell and Hampton Hill,E05000518,"5,421",5350,79.6,"£480,000",374,796,0.1
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",E05000519,"1,122",4857,73.4,"£500,000",338,799.3,0.7
Richmond upon Thames - Hampton,E05000520,"1,478",4999,77.2,"£599,950",343,791,0.3
Richmond upon Thames - Hampton North,E05000521,"5,053",4482,73.5,"£335,000",310,684.9,0.4
Richmond upon Thames - Hampton Wick,E05000522,"3,889",4950,73.1,"£455,000",374,824.6,0
Richmond upon Thames - Heathfield,E05000523,"5,553",4752,70.8,"£380,500",324,640.2,0.6
Richmond upon Thames - Kew,E05000524,"3,236",5807,77.1,"£630,000",363,732.1,0.4
Richmond upon Thames - Mortlake and Barnes Common,E05000525,"5,816",5800,77.9,"£746,500",342,728.6,0.4
Richmond upon Thames - North Richmond,E05000526,"3,911",5695,78.4,"£625,625",360,769.6,0.2
Richmond upon Thames - St. Margarets & North Twickenham,E05000527,"5,775",6200,80.8,"£600,000",369,759.7,0.3
Richmond upon Thames - South Richmond,E05000528,"4,093",5715,76,"£655,000",361,666.6,0.1
Richmond upon Thames - South Twickenham,E05000529,"5,971",5458,76.8,"£555,500",376,813.8,0.2
Richmond upon Thames - Teddington,E05000530,"2,454",5564,79.9,"£499,950",378,797.2,0.1
Richmond upon Thames - Twickenham Riverside,E05000531,"5,325",5916,80.7,"£458,725",366,806.1,0.3
Richmond upon Thames - West Twickenham,E05000532,"4,280",5568,79.5,"£450,000",334,726,0.4
Richmond upon Thames - Whitton,E05000533,"6,250",4802,76.5,"£420,000",341,722.2,0.5
Southwark - Brunswick Park,E05000534,"14,833",6446,66.8,"£346,500",316,639.9,0.6
Southwark - Camberwell Green,E05000535,"15,450",6937,64.6,"£310,000",304,628.4,1
Southwark - Cathedrals,E05000536,"9,028",7697,62.9,"£580,000",313,602.1,0.7
Southwark - Chaucer,E05000537,"19,750",8056,66.4,"£442,000",318,628.9,0.1
Southwark - College,E05000538,"3,688",5705,71.1,"£350,000",324,627.9,0.4
Southwark - East Dulwich,E05000539,"12,250",7196,79.2,"£572,500",334,669.7,0.2
Southwark - East Walworth,E05000540,"11,546",5291,62.5,"£315,000",320,594.9,0.3
Southwark - Faraday,E05000541,"14,333",5581,62.3,"£315,000",320,651.6,1.4
Southwark - Grange,E05000542,"13,750",8428,69.1,"£500,000",322,639.1,0.8
Southwark - Livesey,E05000543,"10,357",5742,60.3,"£289,995",314,629.1,0.6
Southwark - Newington,E05000544,"18,563",6957,66.3,"£380,000",320,666.6,0.9
Southwark - Nunhead,E05000545,"10,539",6328,65,"£356,250",325,627.7,0.6
Southwark - Peckham,E05000546,"16,667",6258,61.2,"£285,000",321,652.2,0.5
Southwark - Peckham Rye,E05000547,"5,848",7263,74.9,"£421,000",330,667.9,0.1
Southwark - Riverside,E05000548,"11,923",8745,74.9,"£585,000",298,610,0.4
Southwark - Rotherhithe,E05000549,"9,600",7175,69.3,"£421,800",312,680.5,0.7
Southwark - South Bermondsey,E05000550,"14,050",6452,64.8,"£288,025",310,622.1,0.3
Southwark - South Camberwell,E05000551,"9,885",6543,70.7,"£396,089",325,675.8,0.2
Southwark - Surrey Docks,E05000552,"7,605",8567,77.7,"£415,000",319,679.7,1.4
Southwark - The Lane,E05000553,"11,357",7623,68.9,"£407,500",309,648.8,0.4
Southwark - Village,E05000554,"4,446",6258,77.2,"£850,000",357,783.3,0
Sutton - Beddington North,E05000555,"2,110",5250,77.2,"£289,000",341,796.7,0.3
Sutton - Beddington South,E05000556,"3,548",4718,69.1,"£386,000",320,751.9,0.6
Sutton - Belmont,E05000557,"4,500",5042,76.2,"£290,000",369,746.8,0.2
Sutton - Carshalton Central,E05000558,"5,200",5302,78.6,"£318,000",360,761,0.3
Sutton - Carshalton South and Clockhouse,E05000559,"1,423",4741,76.5,"£419,995",360,745.2,0.3
Sutton - Cheam,E05000560,"2,705",4749,76.4,"£376,000",364,821.8,0.3
Sutton - Nonsuch,E05000561,"5,737",5402,79.1,"£388,500",357,743.1,0.2
Sutton - St. Helier,E05000562,"8,200",5418,69.6,"£248,000",311,634.7,0.4
Sutton - Stonecot,E05000563,"5,500",5420,77.9,"£347,500",351,732.8,0.8
Sutton - Sutton Central,E05000564,"8,769",5793,75.6,"£240,000",314,713.1,2
Sutton - Sutton North,E05000565,"5,605",4959,75.6,"£300,500",344,766,0.2
Sutton - Sutton South,E05000566,"7,654",5073,78.1,"£250,000",338,854.1,0
Sutton - Sutton West,E05000567,"6,056",5686,79.3,"£270,000",352,706.1,0.1
Sutton - The Wrythe,E05000568,"7,000",5289,77.5,"£257,500",332,660.8,0.5
Sutton - Wallington North,E05000569,"6,844",5531,76.8,"£272,000",349,719.7,0.4
Sutton - Wallington South,E05000570,"6,235",4886,74.2,"£246,000",377,759.7,0.1
Sutton - Wandle Valley,E05000571,"5,762",5601,72,"£243,500",306,674.1,0.7
Sutton - Worcester Park,E05000572,"5,975",6052,78.9,"£338,000",336,761.2,0.6
Tower Hamlets - Bethnal Green North,E05000573,"17,813",6580,64.6,"£383,000",323,651.5,0.9
Tower Hamlets - Bethnal Green South,E05000574,"16,333",5934,55.9,"£357,500",309,681.7,1.6
Tower Hamlets - Blackwall and Cubitt Town,E05000575,"7,117",10684,70.8,"£380,000",305,679.7,1.1
Tower Hamlets - Bow East,E05000576,"8,026",7655,68.9,"£325,000",295,636.5,2.1
Tower Hamlets - Bow West,E05000577,"10,231",6262,66.3,"£415,000",323,676.1,1.3
Tower Hamlets - Bromley-by-Bow,E05000578,"15,500",5386,55.1,"£302,500",310,667.5,2.1
Tower Hamlets - East India and Lansbury,E05000579,"13,000",5124,52.9,"£293,000",290,633,2.6
Tower Hamlets - Limehouse,E05000580,"15,000",7314,64,"£375,000",309,619.1,1.6
Tower Hamlets - Mile End and Globe Town,E05000581,"17,556",6271,55.4,"£385,000",334,647.4,1.1
Tower Hamlets - Mile End East,E05000582,"12,955",5276,56.1,"£325,000",320,679.6,1.8
Tower Hamlets - Millwall,E05000583,"9,860",13759,73.6,"£420,000",313,693.1,0.3
Tower Hamlets - St. Dunstan's and Stepney Green,E05000584,"16,650",6098,55.4,"£363,250",325,697.1,0.7
Tower Hamlets - St. Katherine's and Wapping,E05000585,"8,633",7619,76.5,"£453,000",324,694.5,0.5
Tower Hamlets - Shadwell,E05000586,"15,450",6534,60.7,"£370,000",320,695,1
Tower Hamlets - Spitalfields and Banglatown,E05000587,"18,417",5055,60.9,"£499,995",338,643.2,0.5
Tower Hamlets - Weavers,E05000588,"17,688",6693,67,"£510,000",321,644.5,0.6
Tower Hamlets - Whitechapel,E05000589,"17,889",7530,65,"£489,000",324,690,1.1
Waltham Forest - Cann Hall,E05000590,"15,833",6265,63.8,"£326,000",312,611.3,0.5
Waltham Forest - Cathall,E05000591,"12,000",5715,62.7,"£332,500",312,648.5,0.5
Waltham Forest - Chapel End,E05000592,"8,056",6595,68.9,"£340,000",322,704.3,0.6
Waltham Forest - Chingford Green,E05000593,"2,851",4570,73.4,"£330,000",332,714.8,0.5
Waltham Forest - Endlebury,E05000594,"5,525",4871,70.4,"£310,000",342,781.7,0.2
Waltham Forest - Forest,E05000595,"6,550",5861,65.2,"£401,000",307,673.2,0.6
Waltham Forest - Grove Green,E05000596,"16,833",7587,70.3,"£308,000",306,690.8,0.3
Waltham Forest - Hale End and Highams Park,E05000597,"5,196",5319,71.1,"£288,748",322,706.2,0
Waltham Forest - Hatch Lane,E05000598,"4,729",4914,69.9,"£286,500",326,710.2,0.4
Waltham Forest - High Street,E05000599,"4,726",7146,69.4,"£333,000",328,670.4,1
Waltham Forest - Higham Hill,E05000600,"4,328",5608,62.6,"£325,000",307,650.4,0.7
Waltham Forest - Hoe Street,E05000601,"13,091",6453,66.1,"£360,000",321,643.6,0.4
Waltham Forest - Larkswood,E05000602,"5,619",5104,69.6,"£335,000",312,718.1,0.3
Waltham Forest - Lea Bridge,E05000603,"6,192",6671,62.8,"£283,250",313,674.1,0.2
Waltham Forest - Leyton,E05000604,"7,400",5956,61.5,"£255,000",295,629.4,1.1
Waltham Forest - Leytonstone,E05000605,"10,269",6887,70.3,"£345,000",317,681.5,0.5
Waltham Forest - Markhouse,E05000606,"9,733",6044,64.2,"£324,000",301,635.3,1.3
Waltham Forest - Valley,E05000607,"5,900",5100,68.1,"£285,000",319,645.9,0.5
Waltham Forest - William Morris,E05000608,"13,650",6291,68.1,"£351,625",318,679.1,0.7
Waltham Forest - Wood Street,E05000609,"7,694",5974,66.2,"£387,500",331,650.6,0.3
Wandsworth - Balham,E05000610,"12,375",9369,83,"£595,000",348,757.9,0.2
Wandsworth - Bedford,E05000611,"8,222",9077,80,"£496,500",348,645.5,0.1
Wandsworth - Earlsfield,E05000612,"11,214",9556,79,"£541,000",326,700.3,0.1
Wandsworth - East Putney,E05000613,"9,625",9292,81.7,"£534,000",316,644.5,0.3
Wandsworth - Fairfield,E05000614,"9,967",9882,83.9,"£500,000",340,793.1,0.1
Wandsworth - Furzedown,E05000615,"11,179",7450,70.6,"£410,000",340,661.4,0.2
Wandsworth - Graveney,E05000616,"15,400",8095,72.6,"£440,000",329,739,0.1
Wandsworth - Latchmere,E05000617,"14,182",7869,70.6,"£398,500",319,680.5,1
Wandsworth - Nightingale,E05000618,"12,292",8864,81.3,"£595,000",318,761.9,0.5
Wandsworth - Northcote,E05000619,"8,853",9397,83.9,"£795,000",342,753.3,0.1
Wandsworth - Queenstown,E05000620,"5,719",9607,75.4,"£630,000",315,646.5,0.7
Wandsworth - Roehampton,E05000621,"3,864",6856,59.8,"£374,950",297,613.5,0.5
Wandsworth - St. Mary's Park,E05000622,"12,071",9696,77.4,"£530,000",313,717.6,0.4
Wandsworth - Shaftesbury,E05000623,"15,944",9354,83,"£700,000",324,671.3,0.1
