Ward name,New code,Population density (persons per sq km) - 2013,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (£) - 2014,Average GCSE capped point scores - 2014,A-Level Average Point Score Per Student - 2013/14,"Deliberate Fires per 1,000 population - 2014"
Brent - Kenton,E05000093,"5,413",5637,70.3,"£440,000",357,743,0.4
Brent - Kilburn,E05000094,"19,333",8518,68.9,"£444,632",319,614.8,0.2
Brent - Mapesbury,E05000095,"11,357",8290,70.6,"£450,000",314,682.8,0.4
Brent - Northwick Park,E05000096,"4,889",6055,67.4,"£470,000",346,708.3,0.2
Brent - Preston,E05000097,"6,542",6964,67,"£350,000",339,718.8,0.1
Brent - Queens Park,E05000098,"10,300",8501,75.8,"£677,500",346,743,0.1
Brent - Queensbury,E05000099,"8,050",6945,67.7,"£366,000",332,742.9,0.2
Brent - Stonebridge,E05000100,"4,232",5789,54.2,"£249,950",299,654.9,0.1
Brent - Sudbury,E05000101,"7,238",6931,67.4,"£249,950",331,687,0
Brent - Tokyngton,E05000102,"6,161",7164,67.5,"£322,500",311,682.8,0.2
Brent - Welsh Harp,E05000103,"6,065",5999,64.9,"£292,475",316,666.9,0.2
Brent - Wembley Central,E05000104,"9,719",6963,65.6,"£250,000",306,731,0.1
Brent - Willesden Green,E05000105,"10,600",7834,68.6,"£409,500",297,614.7,0.2
Bromley - Bickley,E05000106,"3,133",7004,76,"£480,000",359,803.2,0.4
Bromley - Biggin Hill,E05000107,"1,223",5104,79.2,"£269,950",312,699.1,0.4
Bromley - Bromley Common and Keston,E05000108,"1,898",6930,73.2,"£350,000",342,735.3,0.4
Bromley - Bromley Town,E05000109,"4,797",8832,78.6,"£327,000",340,772.5,0.2
Bromley - Chelsfield and Pratts Bottom,E05000110,"1,167",6957,77.3,"£400,000",364,760.8,0.4
Bromley - Chislehurst,E05000111,"1,462",6732,75.1,"£395,000",343,782.5,0.4
Bromley - Clock House,E05000112,"6,870",8308,77.7,"£308,750",338,720.5,0.4
Bromley - Copers Cope,E05000113,"4,773",8569,79.5,"£315,000",336,798.3,0.2
